,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,hashtags,date,time,id,name,username,tweet,translated,cleaned,predicted
0,0,0,0,[],2019-06-23,21:21:54,1142784850056765440,オーストラリア海軍bot,hmas_bot,ホバート級駆逐艦　オーストラリア海軍が開発・建造中のミサイル駆逐艦。イージスシステムを搭載するイージス艦。スペインのナバンティア社がアルバロ・デ・バサン級フリゲートをもとに開発することに決定。 pic.twitter.com/BCMF3VKPrh,Hobart class destroyer A missile destroyer under development and construction by the Australian Navy. Aegis ship equipped with Aegis system. Spain's Navantia Inc. decides to develop based on the Alvaro de Basin class frigate. pic.twitter.com/BCMF3VKPrh,Hobart class destroyer A missile destroyer under development and construction by the Australian Navy. Aegis ship equipped with Aegis system. Spain's Navantia Inc. decides to develop based on the Alvaro de Basin class frigate. pic.twitter.com/BCMF3VKPrh,0
1,1,1,1,[],2019-06-23,21:04:11,1142780390307844102,CN4,hmas_cn4,PCなしでは生きていけない！,I can not live without a PC!,I can not live without a PC!,0
2,2,2,2,[],2019-06-23,20:44:09,1142775350612520960,Boomer Corbett,manfrommosman,HMAS Vampire still looks great. It’s a delight to be able to go aboard her at the Maritime Museum while she is still flying the White Ensign,HMAS Vampire still looks great. It’s a delight to be able to go aboard her at the Maritime Museum while she is still flying the White Ensign,HMAS Vampire still looks great. It’s a delight to be able to go aboard her at the Maritime Museum while she is still flying the White Ensign,0
3,3,3,3,[],2019-06-23,20:41:42,1142774731063480320,ゲン,2hmasnbx3ledcfc,viviおめでとう🎉明日買いに行くね😊 星香ちゃんしか勝たん！！(〃ω〃)💚 星香ちゃん配信コメほんと面白いしから好きだわ〜🤣 pic.twitter.com/dLtKKjb9VM,viviおめでとう🎉明日買いに行くね😊 星香ちゃんしか勝たん！！(〃ω〃)💚 星香ちゃん配信コメほんと面白いしから好きだわ〜🤣 pic.twitter.com/dLtKKjb9VM,viviおめでとう🎉明日買いに行くね😊 星香ちゃんしか勝たん！！(〃ω〃)💚 星香ちゃん配信コメほんと面白いしから好きだわ〜🤣 pic.twitter.com/dLtKKjb9VM,0
4,4,4,4,[],2019-06-23,20:39:41,1142774224962097153,Museumships,museumships,"60 years ago today, on 23 June 1959, Daring-class destroyer HMAS Vampire (D11) was commissioned in Sydney under the command of Captain Eric J Peel, DSC, RAN. Now a museum ship in Sydney Australia as part of the Australian National Maritime Museum  https://museumships.us/australia/vampire … pic.twitter.com/9CJu4BF0Xn","60 years ago today, on 23 June 1959, Daring-class destroyer HMAS Vampire (D11) was commissioned in Sydney under the command of Captain Eric J Peel, DSC, RAN. Now a museum ship in Sydney Australia as part of the Australian National Maritime Museum  https://museumships.us/australia/vampire … pic.twitter.com/9CJu4BF0Xn","60 years ago today, on 23 June 1959, Daring-class destroyer HMAS Vampire (D11) was commissioned in Sydney under the command of Captain Eric J Peel, DSC, RAN. Now a museum ship in Sydney Australia as part of the Australian National Maritime Museum   … pic.twitter.com/9CJu4BF0Xn",0
5,5,5,5,"['#france', '#australia', '#pacific']",2019-06-23,20:34:24,1142772894092746752,Tom Antonov,tom_antonov,The @Australian_Navy submarine HMAS Farncomb arrived at Nouméa (New Caledonia 🇫🇷) for for a scheduled port visit this week (for the first time in 34 years). The 60 submarine crew includes 5 female crew members. #France #Australia #Pacific https://twitter.com/la1ere/status/1142428698253168640 …,The @Australian_Navy submarine HMAS Farncomb arrived at Nouméa (New Caledonia 🇫🇷) for for a scheduled port visit this week (for the first time in 34 years). The 60 submarine crew includes 5 female crew members. #France #Australia #Pacific https://twitter.com/la1ere/status/1142428698253168640 …,The  submarine HMAS Farncomb arrived at Nouméa (New Caledonia 🇫🇷) for for a scheduled port visit this week (for the first time in 34 years). The 60 submarine crew includes 5 female crew members.     …,0
6,6,6,6,[],2019-06-23,20:21:54,1142769751095013377,オーストラリア海軍bot,hmas_bot,アデレード級フリゲート艦。米国で建造された4隻は短船体型で、ダーウィンのみ建造中に、他の3隻は建造後に艦尾を延長しS-70B-2 LAMPSヘリコプターに対応している。初期の退役した2隻を除く4隻が改修されている。 pic.twitter.com/kaBj0xbqqk,"Adelaide class frigate. The four vessels built in the United States were short-shipped, and while building only Darwin, the other three vessels extended their stern after construction to support the S-70B-2 LAMPS helicopter. Four vessels have been renovated except for the two retired early. pic.twitter.com/kaBj0xbqqk","Adelaide class frigate. The four vessels built in the United States were short-shipped, and while building only Darwin, the other three vessels extended their stern after construction to support the S-70B-2 LAMPS helicopter. Four vessels have been renovated except for the two retired early. pic.twitter.com/kaBj0xbqqk",0
7,7,7,7,[],2019-06-23,19:42:19,1142759785630244864,أبو محمد,hmas_1,صورة مع التحية لمعالي رئيس الهيئة العامة للرياضة صورة مع التحية لرئيس الإتحاد السعودي لكرة القدم المنتخب صورة مع التحية لكل رياضي شريف صورة مع التحية لجمهور النصر https://twitter.com/azizhadlaq2010/status/1142689631252754433 …,A picture with greetings to the President of the General Authority of Sport Picture with greetings to the President of the Saudi Football Federation Elect Picture with greetings to each athlete Sharif picture with greetings to the victory audience https://twitter.com/azizhadlaq2010/status/1142689631252754433 ...,A picture with greetings to the President of the General Authority of Sport Picture with greetings to the President of the Saudi Football Federation Elect Picture with greetings to each athlete Sharif picture with greetings to the victory audience  ...,0
8,8,8,8,[],2019-06-23,19:38:45,1142758889764655104,Wishmaster1311,wishmaster1311,chilliger sonntagsstream: http://www.twitch.tv/wishmaster1311 ,chilliger sundaysstream: http://www.twitch.tv/wishmaster1311,chilliger sundaysstream:,0
9,9,9,9,[],2019-06-23,19:21:39,1142754587591364608,mas,hmas0228,今日は本垢、サブ垢共に10倍が出た。 (5倍が出る前に10倍が出た。。) # 天クラ pic.twitter.com/J3hAK6Tm42,"Today, both the Honshu and the Subaru came out tenfold. (10 times out before 5 times out.) # Tenkura pic.twitter.com/J3hAK6Tm42","Today, both the Honshu and the Subaru came out tenfold. (10 times out before 5 times out.) # Tenkura pic.twitter.com/J3hAK6Tm42",0
10,10,10,10,[],2019-06-23,19:13:02,1142752419261997056,cqplanespotting,cqplanespotting,The fourth and final former Royal Australian Navy (RAN) Bell 429 'Global Ranger' helicopter has departed HMAS Albatross at Nowra in New South Wales destined for a new owner.  The former N49-218 with 'side number' 050 was re-registered as VH-IWV to...  https://flic.kr/p/2ghBXC5 ,The fourth and final former Royal Australian Navy (RAN) Bell 429 'Global Ranger' helicopter has departed HMAS Albatross at Nowra in New South Wales destined for a new owner.  The former N49-218 with 'side number' 050 was re-registered as VH-IWV to...  https://flic.kr/p/2ghBXC5 ,The fourth and final former Royal Australian Navy (RAN) Bell 429 'Global Ranger' helicopter has departed HMAS Albatross at Nowra in New South Wales destined for a new owner.  The former N49-218 with 'side number' 050 was re-registered as VH-IWV to...,0
11,11,11,11,[],2019-06-23,19:08:53,1142751371986231296,ゲン,2hmasnbx3ledcfc,ボーイッシュな所もストライクだったりする☺️ か、かわいい(〃ω〃),"A boyish place is also a strike, or is pretty (か わ い い ω〃)","A boyish place is also a strike, or is pretty (か わ い い ω〃)",0
12,12,12,12,[],2019-06-23,19:00:21,1142749227992473600,Wishmaster1311,wishmaster1311, pic.twitter.com/20cvizGZYU, pic.twitter.com/20cvizGZYU,pic.twitter.com/20cvizGZYU,0
13,13,13,13,[],2019-06-23,18:47:21,1142745956363845633,ゲン,2hmasnbx3ledcfc,星香ちゃんこの足チラシの服装良い☺️ 3人とも楽しそうでいい笑顔やしかわいい🥰💚 pic.twitter.com/gP5HlqFBQJ,星香ちゃんこの足チラシの服装良い☺️ 3人とも楽しそうでいい笑顔やしかわいい🥰💚 pic.twitter.com/gP5HlqFBQJ,星香ちゃんこの足チラシの服装良い☺️ 3人とも楽しそうでいい笑顔やしかわいい🥰💚 pic.twitter.com/gP5HlqFBQJ,0
